path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,piano_scores_paths,contains_piano_track?
"Lehmann,_Liza/Songs_of_Love_and_Spring/10_The_Sapphire",The Sapphire,5106656,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/Songs_of_Love_and_Spring/10_The_Sapphire/lc6766045.mid","../author-profiling-in-symbolic-music/piano scores/Lehmann,_Liza/Songs_of_Love_and_Spring/10_The_Sapphire/lc6766045.mid_track_4.mid",True
"Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/2_Stehe_still!",Stehe still!,5026081,"Wagner,_Richard",Richard Wagner,Male,German opera composer,1,5,"../Lieder/scores/Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/2_Stehe_still!/lc5026077.mid","../author-profiling-in-symbolic-music/piano scores/Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/2_Stehe_still!/lc5026077.mid_track_2.mid",True
"Gonzaga,_Chiquinha/_/A_mulatinha",A mulatinha,5107147,"Gonzaga,_Chiquinha",Chiquinha Gonzaga,Female,Brazilian musician and composer,1,12,"../Lieder/scores/Gonzaga,_Chiquinha/_/A_mulatinha/lc6608395.mid","../author-profiling-in-symbolic-music/piano scores/Gonzaga,_Chiquinha/_/A_mulatinha/lc6608395.mid_track_2.mid",True
"Lang,_Josephine/Lieder_des_Leids,_Op.29/3_Gib_dich_dahin_in_Gottes_Sinn",Gib dich dahin in Gottes Sinn,5102501,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/Lieder_des_Leids,_Op.29/3_Gib_dich_dahin_in_Gottes_Sinn/lc6085883.mid","../author-profiling-in-symbolic-music/piano scores/Lang,_Josephine/Lieder_des_Leids,_Op.29/3_Gib_dich_dahin_in_Gottes_Sinn/lc6085883.mid_track_2.mid",True
"Parry,_Hubert/English_Lyrics_(1st_Set)/3_Where_shall_the_lover_rest",Where shall the lover rest,5105656,"Parry,_Hubert",Hubert Parry,Male,British composer and musicologist,4,8,"../Lieder/scores/Parry,_Hubert/English_Lyrics_(1st_Set)/3_Where_shall_the_lover_rest/lc6425416.mid","../author-profiling-in-symbolic-music/piano scores/Parry,_Hubert/English_Lyrics_(1st_Set)/3_Where_shall_the_lover_rest/lc6425416.mid_track_2.mid",True
"Burleigh,_Harry_Thacker/_/Go_down,_Moses","Go down, Moses",5104072,"Burleigh,_Harry_Thacker",Harry T. Burleigh,Male,"American composer, arranger, and baritone",2,8,"../Lieder/scores/Burleigh,_Harry_Thacker/_/Go_down,_Moses/lc6351349.mid","../author-profiling-in-symbolic-music/piano scores/Burleigh,_Harry_Thacker/_/Go_down,_Moses/lc6351349.mid_track_1.mid",True
"Lang,_Josephine/6_Lieder,_Op.25/6_Das_Paradies",Das Paradies,5032870,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/6_Lieder,_Op.25/6_Das_Paradies/lc5105152.mid","../author-profiling-in-symbolic-music/piano scores/Lang,_Josephine/6_Lieder,_Op.25/6_Das_Paradies/lc5105152.mid_track_1.mid",True
"Brahms,_Johannes/7_Lieder,_Op.48/3_Liebesklage_des_Mädchens",Liebesklage des Mädchens,5013857,"Brahms,_Johannes",Johannes Brahms,Male,German composer and pianist,18,110,"../Lieder/scores/Brahms,_Johannes/7_Lieder,_Op.48/3_Liebesklage_des_Mädchens/lc4946239.mid","../author-profiling-in-symbolic-music/piano scores/Brahms,_Johannes/7_Lieder,_Op.48/3_Liebesklage_des_Mädchens/lc4946239.mid_track_2.mid",True
"Freer,_Eleanor_Everest/2_Songs,_Op.16/2_Daughter_of_Egypt,_veil_thine_eyes","Daughter of Egypt, veil thine eyes",5106922,"Freer,_Eleanor_Everest",Eleanor Everest Freer,Female,American composer and philanthropist,1,2,"../Lieder/scores/Freer,_Eleanor_Everest/2_Songs,_Op.16/2_Daughter_of_Egypt,_veil_thine_eyes/lc6598677.mid","../author-profiling-in-symbolic-music/piano scores/Freer,_Eleanor_Everest/2_Songs,_Op.16/2_Daughter_of_Egypt,_veil_thine_eyes/lc6598677.mid_track_1.mid",True
"Haydn,_Joseph/10_Canzonets/08_O_tuneful_Voice,_Hob.XXVIa42","O tuneful Voice, Hob.XXVIa:42",5105779,"Haydn,_Joseph",Joseph Haydn,Male,Austrian composer,1,10,"../Lieder/scores/Haydn,_Joseph/10_Canzonets/08_O_tuneful_Voice,_Hob.XXVIa42/lc6474359.mid","../author-profiling-in-symbolic-music/piano scores/Haydn,_Joseph/10_Canzonets/08_O_tuneful_Voice,_Hob.XXVIa42/lc6474359.mid_track_1.mid",True
"Mendelssohn,_Felix/6_Duets,_Op.63/5_Volkslied,_MWV_J_10","Volkslied, MWV J 10",5110262,"Mendelssohn,_Felix",Felix Mendelssohn,Male,"German composer, pianist, organist and conductor of Jewish descent",2,12,"../Lieder/scores/Mendelssohn,_Felix/6_Duets,_Op.63/5_Volkslied,_MWV_J_10/lc7374854.mid","../author-profiling-in-symbolic-music/piano scores/Mendelssohn,_Felix/6_Duets,_Op.63/5_Volkslied,_MWV_J_10/lc7374854.mid_track_2.mid",True
"Mackenzie,_Alexander/_/One_who_never_turned_his_back",One who never turned his back,5105990,"Mackenzie,_Alexander",Alexander Mackenzie,Male,Scottish conductor and composer,3,8,"../Lieder/scores/Mackenzie,_Alexander/_/One_who_never_turned_his_back/lc6499366.mid","../author-profiling-in-symbolic-music/piano scores/Mackenzie,_Alexander/_/One_who_never_turned_his_back/lc6499366.mid_track_1.mid",True
"Lehmann,_Liza/Bird_Songs/4_The_Wren",The Wren,5103535,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/Bird_Songs/4_The_Wren/lc6421815.mid","../author-profiling-in-symbolic-music/piano scores/Lehmann,_Liza/Bird_Songs/4_The_Wren/lc6421815.mid_track_2.mid",True
"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/5_The_lads_in_their_hundreds",The lads in their hundreds,5103550,"Butterworth,_George",George Butterworth,Male,English composer,3,12,"../Lieder/scores/Butterworth,_George/6_Songs_from_A_Shropshire_Lad/5_The_lads_in_their_hundreds/lc6214847.mid","../author-profiling-in-symbolic-music/piano scores/Butterworth,_George/6_Songs_from_A_Shropshire_Lad/5_The_lads_in_their_hundreds/lc6214847.mid_track_1.mid",True
"Debussy,_Claude/Cinq_Poëmes_de_Baudelaire/3_Le_Jet_d’Eau",Le Jet d’Eau,5060952,"Debussy,_Claude",Claude Debussy,Male,French composer,4,16,"../Lieder/scores/Debussy,_Claude/Cinq_Poëmes_de_Baudelaire/3_Le_Jet_d’Eau/lc5060972.mid","../author-profiling-in-symbolic-music/piano scores/Debussy,_Claude/Cinq_Poëmes_de_Baudelaire/3_Le_Jet_d’Eau/lc5060972.mid_track_1.mid",True
"Bizet,_Georges/Feuilles_d’album/6_Le_grillon",Le grillon,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid","../author-profiling-in-symbolic-music/piano scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_track_1.mid",True
"Viardot,_Pauline/_/Rossignol,_rossignolet,_VWV_1071","Rossignol, rossignolet, VWV 1071",5106660,"Viardot,_Pauline",Pauline Viardot,Female,French mezzo-soprano and composer,3,21,"../Lieder/scores/Viardot,_Pauline/_/Rossignol,_rossignolet,_VWV_1071/lc6581778.mid","../author-profiling-in-symbolic-music/piano scores/Viardot,_Pauline/_/Rossignol,_rossignolet,_VWV_1071/lc6581778.mid_track_1.mid",True
"Schumann,_Robert/Myrthen,_Op.25/23_Im_Westen",Im Westen,5109331,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Myrthen,_Op.25/23_Im_Westen/lc6981173.mid","../author-profiling-in-symbolic-music/piano scores/Schumann,_Robert/Myrthen,_Op.25/23_Im_Westen/lc6981173.mid_track_1.mid",True
"Schumann,_Clara/6_Lieder,_Op.13/3_Liebeszauber",Liebeszauber,5097002,"Schumann,_Clara",Clara Wieck,Female,German musician and composer,4,17,"../Lieder/scores/Schumann,_Clara/6_Lieder,_Op.13/3_Liebeszauber/lc5126774.mid","../author-profiling-in-symbolic-music/piano scores/Schumann,_Clara/6_Lieder,_Op.13/3_Liebeszauber/lc5126774.mid_track_2.mid",True
"Schumann,_Robert/Liederkreis,_Op.39/08_In_der_Fremde_[II]",In der Fremde [II],5003125,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Liederkreis,_Op.39/08_In_der_Fremde_[II]/lc4987661.mid","../author-profiling-in-symbolic-music/piano scores/Schumann,_Robert/Liederkreis,_Op.39/08_In_der_Fremde_[II]/lc4987661.mid_track_2.mid",True
"Delius,_Frederick/4_Old_English_Lyrics/3_Spring,_the_Sweet_Spring","Spring, the Sweet Spring",5103561,"Delius,_Frederick",Frederick Delius,Male,English composer,2,6,"../Lieder/scores/Delius,_Frederick/4_Old_English_Lyrics/3_Spring,_the_Sweet_Spring/lc6230260.mid","../author-profiling-in-symbolic-music/piano scores/Delius,_Frederick/4_Old_English_Lyrics/3_Spring,_the_Sweet_Spring/lc6230260.mid_track_2.mid",True
"Webern,_Anton/5_Lieder_aus_“Der_siebente_Ring”,_Op.3/3_An_Bachesranft",An Bachesranft,5108199,"Webern,_Anton",Anton Webern,Male,Austrian composer and conductor,2,10,"../Lieder/scores/Webern,_Anton/5_Lieder_aus_“Der_siebente_Ring”,_Op.3/3_An_Bachesranft/lc6715795.mid","../author-profiling-in-symbolic-music/piano scores/Webern,_Anton/5_Lieder_aus_“Der_siebente_Ring”,_Op.3/3_An_Bachesranft/lc6715795.mid_track_2.mid",True
"Delius,_Frederick/4_Old_English_Lyrics/1_It_was_a_Lover_and_His_Lass",It was a Lover and His Lass,5103561,"Delius,_Frederick",Frederick Delius,Male,English composer,2,6,"../Lieder/scores/Delius,_Frederick/4_Old_English_Lyrics/1_It_was_a_Lover_and_His_Lass/lc6230256.mid","../author-profiling-in-symbolic-music/piano scores/Delius,_Frederick/4_Old_English_Lyrics/1_It_was_a_Lover_and_His_Lass/lc6230256.mid_track_2.mid",True
Poldowski/_/Dans_une_musette,Dans une musette,5107694,Poldowski,Poldowski,Female,British composer,1,3,../Lieder/scores/Poldowski/_/Dans_une_musette/lc6663305.mid,../author-profiling-in-symbolic-music/piano scores/Poldowski/_/Dans_une_musette/lc6663305.mid_track_2.mid,True
"Lang,_Josephine/6_Deutsche_Lieder,_Op.11/3_Frühlings-Ahnung",Frühlings-Ahnung,5106652,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/6_Deutsche_Lieder,_Op.11/3_Frühlings-Ahnung/lc6577241.mid","../author-profiling-in-symbolic-music/piano scores/Lang,_Josephine/6_Deutsche_Lieder,_Op.11/3_Frühlings-Ahnung/lc6577241.mid_track_1.mid",True
"Gonzaga,_Chiquinha/_/Cá_por_coisas!",Cá por coisas!..,5107147,"Gonzaga,_Chiquinha",Chiquinha Gonzaga,Female,Brazilian musician and composer,1,12,"../Lieder/scores/Gonzaga,_Chiquinha/_/Cá_por_coisas!/lc6609847.mid","../author-profiling-in-symbolic-music/piano scores/Gonzaga,_Chiquinha/_/Cá_por_coisas!/lc6609847.mid_track_2.mid",True
"Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny",Nanny,5077648,"Chausson,_Ernest",Ernest Chausson,Male,French composer,2,12,"../Lieder/scores/Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny/lc5077645.mid","../author-profiling-in-symbolic-music/piano scores/Chausson,_Ernest/7_Mélodies,_Op.2/1_Nanny/lc5077645.mid_track_1.mid",True
"Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32","Kumm mit, Op.32",5104240,"Greger,_Luise",Luise Greger,Female,German composer and pianist,4,9,"../Lieder/scores/Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32/lc6267934.mid","../author-profiling-in-symbolic-music/piano scores/Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32/lc6267934.mid_track_2.mid",True
"Warlock,_Peter/Saudades/1_Along_the_Stream",Along the Stream,5103528,"Warlock,_Peter",Peter Warlock,Male,British composer and music critic,4,22,"../Lieder/scores/Warlock,_Peter/Saudades/1_Along_the_Stream/lc6232420.mid","../author-profiling-in-symbolic-music/piano scores/Warlock,_Peter/Saudades/1_Along_the_Stream/lc6232420.mid_track_2.mid",True
"Schröter,_Corona/25_Lieder/08_Der_Eistanz",Der Eistanz,5102093,"Schröter,_Corona",Corona Schröter,Female,German musician and singer,1,25,"../Lieder/scores/Schröter,_Corona/25_Lieder/08_Der_Eistanz/lc6029206.mid","../author-profiling-in-symbolic-music/piano scores/Schröter,_Corona/25_Lieder/08_Der_Eistanz/lc6029206.mid_track_1.mid",True
"Viardot,_Pauline/_/Le_chêne_et_le_roseau,_VWV_1036","Le chêne et le roseau, VWV 1036",5106660,"Viardot,_Pauline",Pauline Viardot,Female,French mezzo-soprano and composer,3,21,"../Lieder/scores/Viardot,_Pauline/_/Le_chêne_et_le_roseau,_VWV_1036/lc6575283.mid","../author-profiling-in-symbolic-music/piano scores/Viardot,_Pauline/_/Le_chêne_et_le_roseau,_VWV_1036/lc6575283.mid_track_2.mid",True
"Holmès,_Augusta_Mary_Anne/Mélodies_pour_piano_et_chant/02_Le_clairon_fleuri",Le clairon fleuri,5001731,"Holmès,_Augusta_Mary_Anne",Augusta Holmès,Female,French composer,9,73,"../Lieder/scores/Holmès,_Augusta_Mary_Anne/Mélodies_pour_piano_et_chant/02_Le_clairon_fleuri/lc5989917.mid","../author-profiling-in-symbolic-music/piano scores/Holmès,_Augusta_Mary_Anne/Mélodies_pour_piano_et_chant/02_Le_clairon_fleuri/lc5989917.mid_track_2.mid",True
"Strauss,_Richard/4_Lieder,_Op.27/2_Cäcilie",Cäcilie,5102996,"Strauss,_Richard",Richard Strauss,Male,German composer and orchestra director,1,4,"../Lieder/scores/Strauss,_Richard/4_Lieder,_Op.27/2_Cäcilie/lc6199572.mid","../author-profiling-in-symbolic-music/piano scores/Strauss,_Richard/4_Lieder,_Op.27/2_Cäcilie/lc6199572.mid_track_2.mid",True
"Fauré,_Gabriel/3_Songs,_Op.7/2_Hymne",Hymne,5108674,"Fauré,_Gabriel",Gabriel Fauré,Male,"French composer, organist, pianist and teacher",3,12,"../Lieder/scores/Fauré,_Gabriel/3_Songs,_Op.7/2_Hymne/lc6772652.mid","../author-profiling-in-symbolic-music/piano scores/Fauré,_Gabriel/3_Songs,_Op.7/2_Hymne/lc6772652.mid_track_2.mid",True
"Mayer,_Emilie/3_Lieder,_Op.7/1_Du_bist_wie_eine_Blume",Du bist wie eine Blume,5100878,"Mayer,_Emilie",Emilie Mayer,Female,German composer,3,6,"../Lieder/scores/Mayer,_Emilie/3_Lieder,_Op.7/1_Du_bist_wie_eine_Blume/lc5840527.mid","../author-profiling-in-symbolic-music/piano scores/Mayer,_Emilie/3_Lieder,_Op.7/1_Du_bist_wie_eine_Blume/lc5840527.mid_track_2.mid",True
"Warlock,_Peter/Songs/12_Sweet_Content",Sweet Content,5103527,"Warlock,_Peter",Peter Warlock,Male,British composer and music critic,4,22,"../Lieder/scores/Warlock,_Peter/Songs/12_Sweet_Content/lc6202270.mid","../author-profiling-in-symbolic-music/piano scores/Warlock,_Peter/Songs/12_Sweet_Content/lc6202270.mid_track_1.mid",True
"Webern,_Anton/5_Lieder_nach_Gedichten_von_Stefan_George,_Op.4/4_So_ich_traurig_bin",So ich traurig bin,5108200,"Webern,_Anton",Anton Webern,Male,Austrian composer and conductor,2,10,"../Lieder/scores/Webern,_Anton/5_Lieder_nach_Gedichten_von_Stefan_George,_Op.4/4_So_ich_traurig_bin/lc6725890.mid","../author-profiling-in-symbolic-music/piano scores/Webern,_Anton/5_Lieder_nach_Gedichten_von_Stefan_George,_Op.4/4_So_ich_traurig_bin/lc6725890.mid_track_2.mid",True
"Warlock,_Peter/Songs/02_There_is_a_lady_sweet_and_kind",There is a lady sweet and kind,5103527,"Warlock,_Peter",Peter Warlock,Male,British composer and music critic,4,22,"../Lieder/scores/Warlock,_Peter/Songs/02_There_is_a_lady_sweet_and_kind/lc6196720.mid","../author-profiling-in-symbolic-music/piano scores/Warlock,_Peter/Songs/02_There_is_a_lady_sweet_and_kind/lc6196720.mid_track_1.mid",True
"Duchambge,_Pauline/_/Ronde_des_pauvres",Ronde des pauvres,5106919,"Duchambge,_Pauline",Pauline Duchambge,Female,French composer,1,4,"../Lieder/scores/Duchambge,_Pauline/_/Ronde_des_pauvres/lc6594151.mid","../author-profiling-in-symbolic-music/piano scores/Duchambge,_Pauline/_/Ronde_des_pauvres/lc6594151.mid_track_1.mid",True
