path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,track_names,contains_piano_track?,voice_paths,voice_type0_paths
"Davies,_Walford/8_New_Nursery_Rhymes,_Op.23/4_A_little_old_Man",A little old Man,5103573,"Davies,_Walford",Walford Davies,Male,British composer,1,8,"../Lieder/scores/Davies,_Walford/8_New_Nursery_Rhymes,_Op.23/4_A_little_old_Man/lc6218732.mid","['voice', 'other', 'voice', 'voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Davies,_Walford/8_New_Nursery_Rhymes,_Op.23/4_A_little_old_Man/lc6218732.mid_voice.mid']","../../author-profiling/train data/voice scores/Davies,_Walford/8_New_Nursery_Rhymes,_Op.23/4_A_little_old_Man/lc6218732.mid_voice_type0.mid"
"Schubert,_Franz/Winterreise,_D.911/01_Gute_Nacht",Gute Nacht,5015409,"Schubert,_Franz",Franz Schubert,Male,Austrian composer,10,88,"../Lieder/scores/Schubert,_Franz/Winterreise,_D.911/01_Gute_Nacht/lc5015378.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schubert,_Franz/Winterreise,_D.911/01_Gute_Nacht/lc5015378.mid_voice.mid']","../../author-profiling/train data/voice scores/Schubert,_Franz/Winterreise,_D.911/01_Gute_Nacht/lc5015378.mid_voice_type0.mid"
"Schumann,_Clara/Lieder,_Op.12/11_Warum_willst_du_And’re_fragen",Warum willst du And’re fragen,5016675,"Schumann,_Clara",Clara Wieck,Female,German musician and composer,4,17,"../Lieder/scores/Schumann,_Clara/Lieder,_Op.12/11_Warum_willst_du_And’re_fragen/lc5197231.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Clara/Lieder,_Op.12/11_Warum_willst_du_And’re_fragen/lc5197231.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Clara/Lieder,_Op.12/11_Warum_willst_du_And’re_fragen/lc5197231.mid_voice_type0.mid"
"Lang,_Josephine/6_Lieder,_Op.10/2_Mignons_Klage",Mignons Klage,5096906,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/6_Lieder,_Op.10/2_Mignons_Klage/lc6110297.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lang,_Josephine/6_Lieder,_Op.10/2_Mignons_Klage/lc6110297.mid_voice.mid']","../../author-profiling/train data/voice scores/Lang,_Josephine/6_Lieder,_Op.10/2_Mignons_Klage/lc6110297.mid_voice_type0.mid"
"Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/3_Warum_sind_denn_die_Rosen_so_blass",Warum sind denn die Rosen so blass,5004627,"Hensel,_Fanny_(Mendelssohn)",Fanny Mendelssohn,Female,German pianist and composer,7,35,"../Lieder/scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/3_Warum_sind_denn_die_Rosen_so_blass/lc5004640.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/3_Warum_sind_denn_die_Rosen_so_blass/lc5004640.mid_voice.mid']","../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/3_Warum_sind_denn_die_Rosen_so_blass/lc5004640.mid_voice_type0.mid"
"Schumann,_Robert/Myrthen,_Op.25/24_Du_bist_wie_ein_Blume",Du bist wie ein Blume,5109331,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Myrthen,_Op.25/24_Du_bist_wie_ein_Blume/lc6982729.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/24_Du_bist_wie_ein_Blume/lc6982729.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/24_Du_bist_wie_ein_Blume/lc6982729.mid_voice_type0.mid"
"Schumann,_Clara/Lieder,_Op.12/04_Liebst_du_um_Schönheit",Liebst du um Schönheit,5016675,"Schumann,_Clara",Clara Wieck,Female,German musician and composer,4,17,"../Lieder/scores/Schumann,_Clara/Lieder,_Op.12/04_Liebst_du_um_Schönheit/lc5000397.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Clara/Lieder,_Op.12/04_Liebst_du_um_Schönheit/lc5000397.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Clara/Lieder,_Op.12/04_Liebst_du_um_Schönheit/lc5000397.mid_voice_type0.mid"
"Mahler,_Gustav/Kindertotenlieder/4_Oft_denk’_ich,_sie_sind_nur_ausgegangen","Oft denk’ ich, sie sind nur ausgegangen",5051725,"Mahler,_Gustav",Gustav Mahler,Male,Austrian late-Romantic composer,2,9,"../Lieder/scores/Mahler,_Gustav/Kindertotenlieder/4_Oft_denk’_ich,_sie_sind_nur_ausgegangen/lc5062118.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Mahler,_Gustav/Kindertotenlieder/4_Oft_denk’_ich,_sie_sind_nur_ausgegangen/lc5062118.mid_voice.mid']","../../author-profiling/train data/voice scores/Mahler,_Gustav/Kindertotenlieder/4_Oft_denk’_ich,_sie_sind_nur_ausgegangen/lc5062118.mid_voice_type0.mid"
"Schubert,_Franz/Die_schöne_Müllerin,_D.795/07_Ungeduld",Ungeduld,5004732,"Schubert,_Franz",Franz Schubert,Male,Austrian composer,10,88,"../Lieder/scores/Schubert,_Franz/Die_schöne_Müllerin,_D.795/07_Ungeduld/lc4985951.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schubert,_Franz/Die_schöne_Müllerin,_D.795/07_Ungeduld/lc4985951.mid_voice.mid']","../../author-profiling/train data/voice scores/Schubert,_Franz/Die_schöne_Müllerin,_D.795/07_Ungeduld/lc4985951.mid_voice_type0.mid"
"Schumann,_Robert/Myrthen,_Op.25/06_Setze_mir_nicht",Setze mir nicht,5109331,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Myrthen,_Op.25/06_Setze_mir_nicht/lc6909785.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/06_Setze_mir_nicht/lc6909785.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/06_Setze_mir_nicht/lc6909785.mid_voice_type0.mid"
"Warlock,_Peter/Peterisms,_Set_2/2_Spring",Spring,5103530,"Warlock,_Peter",Peter Warlock,Male,British composer and music critic,4,22,"../Lieder/scores/Warlock,_Peter/Peterisms,_Set_2/2_Spring/lc6447825.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Warlock,_Peter/Peterisms,_Set_2/2_Spring/lc6447825.mid_voice.mid']","../../author-profiling/train data/voice scores/Warlock,_Peter/Peterisms,_Set_2/2_Spring/lc6447825.mid_voice_type0.mid"
"Schubert,_Franz/Schwanengesang,_D.957/03_Frühlingssehnsucht",Frühlingssehnsucht,5004836,"Schubert,_Franz",Franz Schubert,Male,Austrian composer,10,88,"../Lieder/scores/Schubert,_Franz/Schwanengesang,_D.957/03_Frühlingssehnsucht/lc4985999.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schubert,_Franz/Schwanengesang,_D.957/03_Frühlingssehnsucht/lc4985999.mid_voice.mid']","../../author-profiling/train data/voice scores/Schubert,_Franz/Schwanengesang,_D.957/03_Frühlingssehnsucht/lc4985999.mid_voice_type0.mid"
"Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/3_Im_Treibhaus",Im Treibhaus,5026081,"Wagner,_Richard",Richard Wagner,Male,German opera composer,1,5,"../Lieder/scores/Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/3_Im_Treibhaus/lc5026084.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/3_Im_Treibhaus/lc5026084.mid_voice.mid']","../../author-profiling/train data/voice scores/Wagner,_Richard/5_Gedichte_für_eine_Frauenstimme_(Wesendonck-Lieder),_WWV_91/3_Im_Treibhaus/lc5026084.mid_voice_type0.mid"
"Brahms,_Johannes/8_Lieder_and_Romances,_Op.14/8_Sehnsucht",Sehnsucht,5096871,"Brahms,_Johannes",Johannes Brahms,Male,German composer and pianist,18,110,"../Lieder/scores/Brahms,_Johannes/8_Lieder_and_Romances,_Op.14/8_Sehnsucht/lc5729860.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_and_Romances,_Op.14/8_Sehnsucht/lc5729860.mid_voice.mid']","../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_and_Romances,_Op.14/8_Sehnsucht/lc5729860.mid_voice_type0.mid"
"Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/06_Notturno",Notturno,5002090,"Reichardt,_Louise",Louise Reichardt,Female,German composer,4,43,"../Lieder/scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/06_Notturno/lc5100188.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/06_Notturno/lc5100188.mid_voice.mid']","../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/06_Notturno/lc5100188.mid_voice_type0.mid"
"Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.59/7_Mein_wundes_Herz",Mein wundes Herz,5032872,"Brahms,_Johannes",Johannes Brahms,Male,German composer and pianist,18,110,"../Lieder/scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.59/7_Mein_wundes_Herz/lc5058636.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.59/7_Mein_wundes_Herz/lc5058636.mid_voice.mid']","../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.59/7_Mein_wundes_Herz/lc5058636.mid_voice_type0.mid"
"Hardelot,_Guy_d’/_/The_Dawn",The Dawn,5107151,"Hardelot,_Guy_d’",Guy d'Hardelot,Female,French-English composer,1,9,"../Lieder/scores/Hardelot,_Guy_d’/_/The_Dawn/lc6629619.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Hardelot,_Guy_d’/_/The_Dawn/lc6629619.mid_voice.mid']","../../author-profiling/train data/voice scores/Hardelot,_Guy_d’/_/The_Dawn/lc6629619.mid_voice_type0.mid"
"Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/1_Schwanenlied",Schwanenlied,5004627,"Hensel,_Fanny_(Mendelssohn)",Fanny Mendelssohn,Female,German pianist and composer,7,35,"../Lieder/scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/1_Schwanenlied/lc5100543.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/1_Schwanenlied/lc5100543.mid_voice.mid']","../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/1_Schwanenlied/lc5100543.mid_voice_type0.mid"
"Reichardt,_Louise/12_Gesänge,_Op.3/02_Der_traurige_Wanderer",Der traurige Wanderer,5001966,"Reichardt,_Louise",Louise Reichardt,Female,German composer,4,43,"../Lieder/scores/Reichardt,_Louise/12_Gesänge,_Op.3/02_Der_traurige_Wanderer/lc5061310.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Gesänge,_Op.3/02_Der_traurige_Wanderer/lc5061310.mid_voice.mid']","../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Gesänge,_Op.3/02_Der_traurige_Wanderer/lc5061310.mid_voice_type0.mid"
"Schumann,_Robert/Myrthen,_Op.25/02_Freisinn",Freisinn,5109331,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Myrthen,_Op.25/02_Freisinn/lc6885263.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/02_Freisinn/lc6885263.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Robert/Myrthen,_Op.25/02_Freisinn/lc6885263.mid_voice_type0.mid"
"Kinkel,_Johanna/6_Gedichte,_Op.8/5_Trennung",Trennung,5103034,"Kinkel,_Johanna",Johanna Kinkel,Female,"German composer and author, editor",8,45,"../Lieder/scores/Kinkel,_Johanna/6_Gedichte,_Op.8/5_Trennung/lc6141648.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Kinkel,_Johanna/6_Gedichte,_Op.8/5_Trennung/lc6141648.mid_voice.mid']","../../author-profiling/train data/voice scores/Kinkel,_Johanna/6_Gedichte,_Op.8/5_Trennung/lc6141648.mid_voice_type0.mid"
"Lang,_Josephine/6_Lieder,_Op.13/4_Schmetterling",Schmetterling,5102397,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/6_Lieder,_Op.13/4_Schmetterling/lc6068212.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lang,_Josephine/6_Lieder,_Op.13/4_Schmetterling/lc6068212.mid_voice.mid']","../../author-profiling/train data/voice scores/Lang,_Josephine/6_Lieder,_Op.13/4_Schmetterling/lc6068212.mid_voice_type0.mid"
"Grandval,_Clémence_de/_/La_délaissée",La délaissée,5104018,"Grandval,_Clémence_de",Clémence de Grandval,Female,French composer,3,13,"../Lieder/scores/Grandval,_Clémence_de/_/La_délaissée/lc6625953.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Grandval,_Clémence_de/_/La_délaissée/lc6625953.mid_voice.mid']","../../author-profiling/train data/voice scores/Grandval,_Clémence_de/_/La_délaissée/lc6625953.mid_voice_type0.mid"
"Mendelssohn,_Felix/6_Duets,_Op.63/6_Maiglöckchen_und_die_Blümelein,_MWV_J_7","Maiglöckchen und die Blümelein, MWV J 7",5110262,"Mendelssohn,_Felix",Felix Mendelssohn,Male,"German composer, pianist, organist and conductor of Jewish descent",2,12,"../Lieder/scores/Mendelssohn,_Felix/6_Duets,_Op.63/6_Maiglöckchen_und_die_Blümelein,_MWV_J_7/lc7380386.mid","['voice', 'voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Mendelssohn,_Felix/6_Duets,_Op.63/6_Maiglöckchen_und_die_Blümelein,_MWV_J_7/lc7380386.mid_voice.mid']","../../author-profiling/train data/voice scores/Mendelssohn,_Felix/6_Duets,_Op.63/6_Maiglöckchen_und_die_Blümelein,_MWV_J_7/lc7380386.mid_voice_type0.mid"
"Lehmann,_Liza/Songs_of_Love_and_Spring/04_Dawning_Love",Dawning Love,5106656,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/Songs_of_Love_and_Spring/04_Dawning_Love/lc6762153.mid","['voice', 'voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lehmann,_Liza/Songs_of_Love_and_Spring/04_Dawning_Love/lc6762153.mid_voice.mid']","../../author-profiling/train data/voice scores/Lehmann,_Liza/Songs_of_Love_and_Spring/04_Dawning_Love/lc6762153.mid_voice_type0.mid"
"Haydn,_Joseph/10_Canzonets/05_Sympathy,_Hob.XXVIa33","Sympathy, Hob.XXVIa:33",5105779,"Haydn,_Joseph",Joseph Haydn,Male,Austrian composer,1,10,"../Lieder/scores/Haydn,_Joseph/10_Canzonets/05_Sympathy,_Hob.XXVIa33/lc6456501.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Haydn,_Joseph/10_Canzonets/05_Sympathy,_Hob.XXVIa33/lc6456501.mid_voice.mid']","../../author-profiling/train data/voice scores/Haydn,_Joseph/10_Canzonets/05_Sympathy,_Hob.XXVIa33/lc6456501.mid_voice_type0.mid"
"Gurney,_Ivor/5_Elizabethan_Songs/2_Tears",Tears,5102696,"Gurney,_Ivor",Ivor Gurney,Male,British composer and poet,2,6,"../Lieder/scores/Gurney,_Ivor/5_Elizabethan_Songs/2_Tears/lc6154108.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Gurney,_Ivor/5_Elizabethan_Songs/2_Tears/lc6154108.mid_voice.mid']","../../author-profiling/train data/voice scores/Gurney,_Ivor/5_Elizabethan_Songs/2_Tears/lc6154108.mid_voice_type0.mid"
"Schubert,_Franz/Winterreise,_D.911/22_Muth",Muth,5015409,"Schubert,_Franz",Franz Schubert,Male,Austrian composer,10,88,"../Lieder/scores/Schubert,_Franz/Winterreise,_D.911/22_Muth/lc5013969.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schubert,_Franz/Winterreise,_D.911/22_Muth/lc5013969.mid_voice.mid']","../../author-profiling/train data/voice scores/Schubert,_Franz/Winterreise,_D.911/22_Muth/lc5013969.mid_voice_type0.mid"
"Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/3_Abendbild",Abendbild,5016673,"Hensel,_Fanny_(Mendelssohn)",Fanny Mendelssohn,Female,German pianist and composer,7,35,"../Lieder/scores/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/3_Abendbild/lc4919798.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/3_Abendbild/lc4919798.mid_voice.mid']","../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/3_Abendbild/lc4919798.mid_voice_type0.mid"
"Lehmann,_Liza/5_Little_Love_Songs/4_If_I_were_a_bird,_I_would_sing_all_day","If I were a bird, I would sing all day",5103710,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/5_Little_Love_Songs/4_If_I_were_a_bird,_I_would_sing_all_day/lc6209607.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lehmann,_Liza/5_Little_Love_Songs/4_If_I_were_a_bird,_I_would_sing_all_day/lc6209607.mid_voice.mid']","../../author-profiling/train data/voice scores/Lehmann,_Liza/5_Little_Love_Songs/4_If_I_were_a_bird,_I_would_sing_all_day/lc6209607.mid_voice_type0.mid"
"Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/4_Mayenlied",Mayenlied,5004627,"Hensel,_Fanny_(Mendelssohn)",Fanny Mendelssohn,Female,German pianist and composer,7,35,"../Lieder/scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/4_Mayenlied/lc5101299.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/4_Mayenlied/lc5101299.mid_voice.mid']","../../author-profiling/train data/voice scores/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/4_Mayenlied/lc5101299.mid_voice_type0.mid"
"Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32","Kumm mit, Op.32",5104240,"Greger,_Luise",Luise Greger,Female,German composer and pianist,4,9,"../Lieder/scores/Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32/lc6267934.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32/lc6267934.mid_voice.mid']","../../author-profiling/train data/voice scores/Greger,_Luise/Plattdeutsche_Lieder,_Opp.32-34/1_Kumm_mit,_Op.32/lc6267934.mid_voice_type0.mid"
"Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad","Think no more, lad",5103550,"Butterworth,_George",George Butterworth,Male,English composer,3,12,"../Lieder/scores/Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad/lc6214846.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad/lc6214846.mid_voice.mid']","../../author-profiling/train data/voice scores/Butterworth,_George/6_Songs_from_A_Shropshire_Lad/4_Think_no_more,_lad/lc6214846.mid_voice_type0.mid"
